			before		after
			0.0262		0.0068
			0.0264		0.0064
			0.0284		0.0065
			0.026		0.0088
			0.0269		0.0067
			0.0261		0.0063
			0.0262		0.0061
			0.0266		0.0064
			0.0261		0.0064
			0.0249		0.0062
			0.0242		0.0064

maximum :	0.5074		0.0747
minimum :	0.0128		0.0039
mean :		0.0389		0.0078
